"venueid","lookupsymbol","securityexchange","currency","securityid","bloombergexchcode"
AUS_Composite,VPR AU Equity,AX,AUD,AU000000VPR1,AU
US_Composite,VPRB US Equity,US,USD,US91831H1068,UN
US_Composite,VPRB US Equity,US,USD,US91831H1068,US
US_Composite,VPRL US Equity,US,USD,US92838M1062,UN
US_Composite,VPRL US Equity,US,USD,US92838M1062,US
DEU_Composite,VRL GR Equity,DEU,EUR,DE000A2BPK34,GR
US_Composite,VYCO US Equity,US,USD,US92921M2035,UN
US_Composite,VYCO US Equity,US,USD,US92921M2035,US
MXN_Composite,VYGR* MM Equity,MX,MXN,US92915B1061,MM
US_Composite,VZLA US Equity,US,USD,CA92859G6085,UN
US_Composite,VZLA US Equity,US,USD,CA92859G6085,US
DEU_Composite,W0I GR Equity,DEU,EUR,CA21750Y1034,GR
US_Composite,VRCI US Equity,US,USD,US92337L2034,UN
US_Composite,VRCI US Equity,US,USD,US92337L2034,US
CAN_Composite,VRDN CN Equity,TO,CAD,CA92841T1066,CN
US_Composite,VRDR US Equity,US,USD,US92337V1026,UN
US_Composite,VRDR US Equity,US,USD,US92337V1026,US
DEU_Composite,W2U1 GR Equity,DEU,EUR,CA05351M2040,GR
BZ_Composite,W2YF34 BZ Equity,BZ,BRL,BRW2YFBDR004,BZ
MXN_Composite,WACER21D MM Equity,MX,MXN,MX1RWA020001,MM
US_Composite,WACLF US Equity,US,USD,JP3992400006,UN
US_Composite,WACLF US Equity,US,USD,JP3992400006,US
DEU_Composite,WAF GR Equity,DEU,EUR,DE000WAF3001,GR
DEU_Composite,WAH GR Equity,DEU,EUR,AT0000A25NJ6,GR
DEU_Composite,WC7 GR Equity,DEU,EUR,CA9323971023,GR
DEU_Composite,WC3 GR Equity,DEU,EUR,US9426222009,GR
AUS_Composite,WAG AU Equity,AX,AUD,AU0000307902,AU
CAN_Composite,WAGR CN Equity,TO,CAD,CA1584981056,CN
DEU_Composite,WE7 GR Equity,DEU,EUR,AU000000EVN4,GR
US_Composite,WAXS US Equity,US,USD,US98141A1016,UN
US_Composite,WAXS US Equity,US,USD,US98141A1016,US
DEU_Composite,WAY GR Equity,DEU,EUR,HK0218001102,GR
DEU_Composite,WB2 GR Equity,DEU,EUR,US9297401088,GR
DEU_Composite,WBAH GR Equity,DEU,EUR,DE000A2TSU21,GR
CAN_Composite,WBIO CN Equity,TO,CAD,CA92941F2044,CN
DEU_Composite,WCH GR Equity,DEU,EUR,DE000WCH8881,GR
AUS_Composite,WCE AU Equity,AX,AUD,AU0000396905,AU
DEU_Composite,WCE GR Equity,DEU,EUR,US1251411013,GR
DEU_Composite,WD4 GR Equity,DEU,EUR,JE00B6Y3DV84,GR
US_Composite,WDAY US Equity,US,USD,US98138H1014,UN
US_Composite,WDAY US Equity,US,USD,US98138H1014,US
US_Composite,WDBG US Equity,US,USD,US9788872060,UN
US_Composite,WDBG US Equity,US,USD,US9788872060,US
IN_Composite,WAREERTL IN Equity,IN,INR,INE299N01021,IN
US_Composite,WARFY US Equity,US,USD,US9622574088,UN
US_Composite,WARFY US Equity,US,USD,US9622574088,US
US_Composite,WFC US Equity,US,USD,US9497461015,UN
US_Composite,WFC US Equity,US,USD,US9497461015,US
US_Composite,WEQL US Equity,US,USD,US94973Q1085,UN
US_Composite,WEQL US Equity,US,USD,US94973Q1085,US
CAN_Composite,WCN CN Equity,TO,CAD,CA94106B1013,CN
DEU_Composite,WF5A GR Equity,DEU,EUR,US50077B2079,GR
DEU_Composite,WF6 GR Equity,DEU,EUR,CA60256C1086,GR
US_Composite,WEWA US Equity,US,USD,US96207P1030,UN
US_Composite,WEWA US Equity,US,USD,US96207P1030,US
CAN_Composite,WEX CN Equity,TO,CAD,CA95816A2002,CN
BZ_Composite,WEST3 BZ Equity,BZ,BRL,BRWESTACNOR3,BZ
AUS_Composite,WEB AU Equity,AX,AUD,AU000000WEB7,AU
US_Composite,WDKA US Equity,US,USD,US6981051039,UN
US_Composite,WDKA US Equity,US,USD,US6981051039,US
US_Composite,WCYN US Equity,US,USD,US9517362060,UN
US_Composite,WCYN US Equity,US,USD,US9517362060,US
US_Composite,WAST US Equity,US,USD,US23131W1036,UN
US_Composite,WAST US Equity,US,USD,US23131W1036,US
US_Composite,WCT US Equity,US,USD,KYG9545M1151,UN
US_Composite,WCT US Equity,US,USD,KYG9545M1151,US
US_Composite,WEBB US Equity,US,USD,US94734A1034,UN
US_Composite,WEBB US Equity,US,USD,US94734A1034,US
US_Composite,WEBC US Equity,US,USD,US9476212074,UN
US_Composite,WEBC US Equity,US,USD,US9476212074,US
DEU_Composite,WF3 GR Equity,DEU,EUR,AU000000WES1,GR
DEU_Composite,WEJ0 GR Equity,DEU,EUR,US9534321016,GR
IN_Composite,WANB IN Equity,IN,INR,INE107F01022,IN
US_Composite,TRII US Equity,US,USD,US8966991056,UN
US_Composite,TRII US Equity,US,USD,US8966991056,US
DEU_Composite,TOR1 GR Equity,DEU,EUR,JP3621000003,GR
US_Composite,TRUG US Equity,US,USD,US2437334095,UN
US_Composite,TRUG US Equity,US,USD,US2437334095,US
US_Composite,TRUL US Equity,US,USD,US8978891013,UN
US_Composite,TRUL US Equity,US,USD,US8978891013,US
US_Composite,TRAIF US Equity,US,USD,CA88909Q1090,UN
US_Composite,TRAIF US Equity,US,USD,CA88909Q1090,US
US_Composite,TRNGF US Equity,US,USD,IL0011328858,UN
US_Composite,TRNGF US Equity,US,USD,IL0011328858,US
US_Composite,TRNHF US Equity,US,USD,KYG9005B1041,UN
US_Composite,TRNHF US Equity,US,USD,KYG9005B1041,US
IN_Composite,TR IN Equity,IN,INR,INE895C01011,IN
DEU_Composite,TR0 GR Equity,DEU,EUR,AU000000BUD3,GR
US_Composite,TOKSF US Equity,US,USD,JP3579800008,UN
US_Composite,TOKSF US Equity,US,USD,JP3579800008,US
US_Composite,TRKNY US Equity,US,USD,US90011Q1004,UN
